origin,destination,observed_2010_expanded,observed_2022_pair,seed_from_2022_containment_2010_shares,balanced_target,change_from_seed,status,actual,target_error,difference_from_historical_2010,historical_change_percent
3300803,3303302,534.6723015659275,,16.041519776946686,7,-9.041519776946686,"historical 2010 survey prior, adjusted to modeled margins",7,0,-527.6723015659275,-98.69078686524463
3300803,3303500,19.2706219411561,,0.5812075743864588,0,-0.5812075743864588,"historical 2010 survey prior, adjusted to modeled margins",0,0,-19.2706219411561,-100.0
3300803,3303609,0.0,,0.000263534385685,0,-0.000263534385685,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3303906,9.12795430471,,5.3852695626281294e-05,0,-5.3852695626281294e-05,"historical 2010 survey prior, adjusted to modeled margins",0,0,-9.12795430471,-100.0
3300803,3304003,0.0,,4.6680396675323645e-05,0,-4.6680396675323645e-05,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3304144,0.0,,0.0005792408513242,1,0.9994207591486758,"historical 2010 survey prior, adjusted to modeled margins",1,0,1.0,
3300803,3304409,0.0,,2.6300472914840177e-08,0,-2.6300472914840177e-08,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3304557,997.3182717057176,,29.96075134529563,22,-7.96075134529563,"historical 2010 survey prior, adjusted to modeled margins",22,0,-975.3182717057176,-97.79408433354246
3300803,3304904,153.7302741270906,,4.614635816245627,0,-4.614635816245627,"historical 2010 survey prior, adjusted to modeled margins",0,0,-153.7302741270906,-100.0
3300803,3305109,0.0,,0.0017340672253305,0,-0.0017340672253305,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3300803,3305554,10.5659219519283,,0.317404902574516,1,0.682595097425484,"historical 2010 survey prior, adjusted to modeled margins",1,0,-9.5659219519283,-90.53561057378909
3301702,3300456,1567.603244064693,,1060.726185718617,1257,196.273814281383,"historical 2010 survey prior, adjusted to modeled margins",1257,0,-310.60324406469294,-19.813893932709593
3301702,3300803,0.0,,0.0011071737718881,0,-0.0011071737718881,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301702,3301702,166928.60341459495,,231937.79581891056,231938,0.2041810894152149,2022 local containment,231938,0,65009.39658540505,38.9444320839032
3301702,3301801,0.0,,5.698366808182312e-06,0,-5.698366808182312e-06,"historical 2010 survey prior, adjusted to modeled margins",0,0,0.0,
3301702,3301850,26.6710223019984,,9.96045288174736,151,141.03954711825264,"historical 2010 survey prior, adjusted to modeled margins",151,0,124.32897769800161,466.15752591038074
3301702,3301900,19.5864024769215,,13.450362659759872,42,28.54963734024013,"historical 2010 survey prior, adjusted to modeled margins",42,0,22.4135975230785,114.43447845763541
3301702,3302007,286.17587291318466,,194.19516563777935,624,429.8048343622206,"historical 2010 survey prior, adjusted to modeled margins",624,0,337.82412708681534,118.04773185379568
