municipality_code,municipality,bairro,residents,resident_workers,jobs,jobs_per_resident,covered_area_km2,jobs_per_km2,residents_per_km2
3304557,Rio de Janeiro,Vicente de Carvalho,21300,8469,3119,0.1464319248826291,1.8357156393004577,1699.0648950338343,11603.104284777386
3304557,Rio de Janeiro,Vidigal,15112,6477,3314,0.21929592376919005,1.6213821217961966,2043.9352053103253,9320.443217456137
3304557,Rio de Janeiro,Vigário Geral,34645,13847,5521,0.1593592148939241,3.3853171812975273,1630.8663869079194,10233.900737986753
3304557,Rio de Janeiro,Vila Isabel,65551,24826,27090,0.4132660066207991,3.2171345179763837,8420.536924592117,20375.585675302245
3304557,Rio de Janeiro,Vila Kosmos,16390,6399,8536,0.5208053691275167,1.519258195141791,5618.531482861834,10788.1596771445
3304557,Rio de Janeiro,Vila Militar,13382,5451,1138,0.08503960544014348,10.756738322824223,105.79415114945492,1244.0574083321667
3304557,Rio de Janeiro,Vila Valqueire,34024,13140,10555,0.3102221960968728,4.232226089231911,2493.959390982249,8039.268054834679
3304557,Rio de Janeiro,Vila da Penha,21950,8206,0,0.0,1.5416752136348961,0.0,14237.758903995884
3304557,Rio de Janeiro,Vista Alegre,17916,6737,7835,0.4373185979013173,1.2543621417967923,6246.202543052576,14282.956574515629
3304557,Rio de Janeiro,Zumbi,1493,565,0,0.0,0.1611182357237082,0.0,9266.486771616928
3304557,Rio de Janeiro,Água Santa,6419,2541,52,0.008100950303785636,2.4262383416305173,21.4323544013628,2645.659286583612
3304904,São Gonçalo,Municipal total,896744,342705,240076,0.2677196613526268,248.22027593289155,967.1893204441791,3612.69439665937
3305109,São João de Meriti,Municipal total,440962,166795,110095,0.24967003959524858,35.21189287846116,3126.642477869864,12523.098417970397
3305554,Seropédica,Municipal total,80596,29554,29724,0.36880242195642465,265.09430689352007,112.12613483977678,304.0276531942757
